Data Source,DISTRICT,Variety,Yield
Bhanga RS,Shariatpur,BRRI dhan92,7.890302326
Bhanga RS,Shariatpur,BRRI dhan92,8.513895349
Bhanga RS,Shariatpur,BRRI dhan102,8.795717054
Bhanga RS,Rajbari,BRRI dhan92,8.60620155
Bhanga RS,Rajbari,BRRI dhan92,8.612348837
Bhanga RS,Rajbari,BRRI dhan108,8.502790698
Bhanga RS,Rajbari,BRRI dhan105,6.711860465
Bhanga RS,Rajbari,BRRI dhan104,7.514439153
Bhanga RS,Rajbari,BRRI dhan89,7.970634921
Bhanga RS,Rajbari,BRRI dhan104,7.100845238
Bhanga RS,Rajbari,BRRI dhan89,7.938624339
Bhanga RS,Rajbari,BRRI dhan92,7.514439153
Bhanga RS,Rajbari,BRRI dhan108,8.046925065
Bhanga RS,Rajbari,BRRI hybrid dhan5,8.716046512
Bhanga RS,Rajbari,BRRI hybrid dhan5,8.809767442
Bhanga RS,Rajbari,BRRI hybrid dhan5,8.775403101
Bhanga RS,Rajbari,BRRI hybrid dhan5,8.841007752
Bhanga RS,Rajbari,BRRI dhan107,7.392325581
Bhanga RS,Rajbari,BRRI dhan107,7.371834625
Bhanga RS,Rajbari,BRRI dhan105,6.572067183
Bhanga RS,Rajbari,BRRI dhan105,6.795348837
Bhanga RS,Rajbari,BRRI dhan104,7.33042328
Bhanga RS,Rajbari,BRRI dhan104,6.866150794
Bhanga RS,Rajbari,BRRI dhan102,8.29702381
Bhanga RS,Rajbari,BRRI dhan102,7.991587302
Bhanga RS,Rajbari,BRRI dhan102,7.858650794
Bhanga RS,Rajbari,BRRI dhan104,7.241071429
Bhanga RS,Rajbari,BRRI dhan107,7.405232558
Bhanga RS,Rajbari,BRRI dhan102,7.991587302
Bhanga RS,Rajbari,BRRI dhan105,6.658552972
Bhanga RS,Rajbari,BRRI dhan105,7.299431217
Bhanga RS,Rajbari,BRRI dhan108,7.690568475
Bhanga RS,Rajbari,BRRI dhan108,7.339832041
Bhanga RS,Rajbari,BRRI dhan105,6.700968992
Bhanga RS,Rajbari,BRRI dhan89,7.33042328
Bhanga RS,Rajbari,BRRI dhan89,7.874603175
Bhanga RS,Rajbari,BRRI dhan89,7.554497354
Bhanga RS,Rajbari,BRRI dhan92,8.513992248
Bhanga RS,Rajbari,BRRI dhan92,8.483255814
Bhanga RS,Rajbari,BRRI dhan108,7.661498708
Bhanga RS,Rajbari,BRRI hybrid dhan5,8.841007752
Bhanga RS,Rajbari,BRRI dhan107,7.613307494
Bhanga RS,Rajbari,BRRI dhan107,7.063953488
Bhanga RS,Rajbari,BRRI dhan108,7.774883721
Bhanga RS,Rajbari,BRRI dhan104,7.100845238
Bhanga RS,Rajbari,BRRI dhan104,7.33042328
